Periode,Data Inflasi
1/12/2022,5.51
1/11/2022,5.42
1/10/2022,5.71
1/9/2022,5.95
1/8/2022,4.69
1/7/2022,4.94
1/6/2022,4.35
1/5/2022,3.55
1/4/2022,3.47
1/3/2022,2.64
1/2/2022,2.06
1/1/2022,2.18
1/12/2021,1.87
1/11/2021,1.75
1/10/2021,1.66
1/9/2021,1.6
1/8/2021,1.59
1/7/2021,1.52
1/6/2021,1.33
1/5/2021,1.68
1/4/2021,1.42
1/3/2021,1.37
1/2/2021,1.38
1/1/2021,1.55
1/12/2020,1.68
1/11/2020,1.59
1/10/2020,1.44
1/9/2020,1.42
1/8/2020,1.32
1/7/2020,1.54
1/6/2020,1.96
1/5/2020,2.19
1/4/2020,2.67
1/3/2020,2.96
1/2/2020,2.98
1/1/2020,2.68
1/12/2019,2.72
1/11/2019,3
1/10/2019,3.13
1/9/2019,3.39
1/8/2019,3.49
1/7/2019,3.32
1/6/2019,3.28
1/5/2019,3.32
1/4/2019,2.83
1/3/2019,2.48
1/2/2019,2.57
1/1/2019,2.82
1/12/2018,3.13
1/11/2018,3.23
1/10/2018,3.16
1/9/2018,2.88
1/8/2018,3.2
1/7/2018,3.18
1/6/2018,3.12
1/5/2018,3.23
1/4/2018,3.41
1/3/2018,3.4
1/2/2018,3.18
1/1/2018,3.25
1/12/2017,3.61
1/11/2017,3.3
1/10/2017,3.58
1/9/2017,3.72
1/8/2017,3.82
1/7/2017,3.88
1/6/2017,4.37
1/5/2017,4.33
1/4/2017,4.17
1/3/2017,3.61
1/2/2017,3.83
1/1/2017,3.49
1/12/2016,3.02
1/11/2016,3.58
1/10/2016,3.31
1/9/2016,3.07
1/8/2016,2.79
1/7/2016,3.21
1/6/2016,3.45
1/5/2016,3.33
1/4/2016,3.6
1/3/2016,4.45
1/2/2016,4.42
1/1/2016,4.14
1/12/2015,3.35
1/11/2015,4.89
1/10/2015,6.25
1/9/2015,6.83
1/8/2015,7.18
1/7/2015,7.26
1/6/2015,7.26
1/5/2015,7.15
1/4/2015,6.79
1/3/2015,6.38
1/2/2015,6.29
1/1/2015,6.96
1/12/2014,8.36
1/11/2014,6.23
1/10/2014,4.83
1/9/2014,4.53
1/8/2014,3.99
1/7/2014,4.53
1/6/2014,6.7
1/5/2014,7.32
1/4/2014,7.25
1/3/2014,7.32
1/2/2014,7.75
1/1/2014,8.22
1/12/2013,8.38
1/11/2013,8.37
1/10/2013,8.32
1/9/2013,8.4
1/8/2013,8.79
1/7/2013,8.61
1/6/2013,5.9
1/5/2013,5.47
1/4/2013,5.57
1/3/2013,5.9
1/2/2013,5.31
1/1/2013,4.57
1/12/2012,4.3
1/11/2012,4.32
1/10/2012,4.61
1/9/2012,4.31
1/8/2012,4.58
1/7/2012,4.56
1/6/2012,4.53
1/5/2012,4.45
1/4/2012,4.5
1/3/2012,3.97
1/2/2012,3.56
1/1/2012,3.65
1/12/2011,3.79
1/11/2011,4.15
1/10/2011,4.42
1/9/2011,4.61
1/8/2011,4.79
1/7/2011,4.61
1/6/2011,5.54
1/5/2011,5.98
1/4/2011,6.16
1/3/2011,6.65
1/2/2011,6.84
1/1/2011,7.02
1/12/2010,6.96
1/11/2010,6.33
1/10/2010,5.67
1/9/2010,5.8
1/8/2010,6.44
1/7/2010,6.22
1/6/2010,5.05
1/5/2010,4.16
1/4/2010,3.91
1/3/2010,3.43
1/2/2010,3.81
1/1/2010,3.72
1/12/2009,2.78
1/11/2009,2.41
1/10/2009,2.57
1/9/2009,2.83
1/8/2009,2.75
1/7/2009,2.71
1/6/2009,3.65
1/5/2009,6.04
1/4/2009,7.31
1/3/2009,7.92
1/2/2009,8.6
1/1/2009,9.17
1/12/2008,11.06
1/11/2008,11.68
1/10/2008,11.77
1/9/2008,12.14
1/8/2008,11.85
1/7/2008,11.9
1/6/2008,11.03
1/5/2008,10.38
1/4/2008,8.96
1/3/2008,8.17
1/2/2008,7.4
1/1/2008,7.36
1/12/2007,6.59
1/11/2007,6.71
1/10/2007,6.88
1/9/2007,6.95
1/8/2007,6.51
1/7/2007,6.06
1/6/2007,5.77
1/5/2007,6.01
1/4/2007,6.29
1/3/2007,6.52
1/2/2007,6.3
1/1/2007,6.26
1/12/2006,6.6
1/11/2006,5.27
1/10/2006,6.29
1/9/2006,14.55
1/8/2006,14.9
1/7/2006,15.15
1/6/2006,15.53
1/5/2006,15.6
1/4/2006,15.4
1/3/2006,15.74
1/2/2006,17.92
1/1/2006,17.03
1/12/2005,17.11
1/11/2005,18.38
1/10/2005,17.89
1/9/2005,9.06
1/8/2005,8.33
1/7/2005,7.84
1/6/2005,7.42
1/5/2005,7.4
1/4/2005,8.12
1/3/2005,8.81
1/2/2005,7.15
1/1/2005,7.32
1/12/2004,6.4
1/11/2004,6.18
1/10/2004,6.22
1/9/2004,6.27
1/8/2004,6.67
1/7/2004,7.2
1/6/2004,6.83
1/5/2004,6.47
1/4/2004,5.92
1/3/2004,5.11
1/2/2004,4.6
1/1/2004,4.82
1/12/2003,5.16
1/11/2003,5.53
1/10/2003,6.48
1/9/2003,6.33
1/8/2003,6.51
1/7/2003,6.27
1/6/2003,6.98
1/5/2003,7.15
1/4/2003,7.62
1/3/2003,7.17
1/2/2003,7.6
1/1/2003,8.68
