Periode,4-4,4-4-4,4-4-4-4,5-5,5-5-5,5-5-5-5,6-6,6-6-6,6-6-6-6
2023-01-01,5.50,5.42,5.26,5.69,6.13,5.99,6.12,5.90,5.94
2023-02-01,5.40,5.34,5.00,5.71,6.45,6.14,5.56,5.40,5.39
2023-03-01,5.30,5.33,4.82,5.89,6.43,5.95,5.79,5.53,5.75
2023-04-01,5.25,5.29,4.55,5.93,6.18,5.58,5.65,5.78,5.59
2023-05-01,5.20,5.26,4.29,6.09,6.18,5.61,6.06,5.84,5.94
2023-06-01,5.12,5.24,4.05,6.12,6.34,5.86,5.46,5.72,5.48
2023-07-01,5.05,5.22,3.81,6.27,6.53,6.10,5.99,6.10,6.11
2023-08-01,4.98,5.20,3.60,6.30,6.54,5.97,5.52,6.23,5.62
2023-09-01,4.91,5.19,3.41,6.43,6.48,5.76,6.06,6.27,6.23
2023-10-01,4.84,5.17,3.25,6.46,6.44,5.65,5.33,6.42,5.62
2023-11-01,4.76,5.16,3.12,6.58,6.52,5.85,6.11,6.68,6.45
2023-12-01,4.68,5.15,3.02,6.60,6.60,6.00,5.28,6.69,5.62
